Dealer Card,Player Value,Ace,Action,Reward
10,7,False,hit,-1
5,20,False,stay,0
4,10,False,hit,1
11,19,False,stay,1
4,8,False,hit,-1
9,16,False,hit,-1
9,18,False,stay,-1
9,18,False,stay,1
2,6,False,hit,1
5,17,False,stay,-1
3,9,False,hit,1
7,18,True,stay,1
2,13,False,stay,1
5,15,False,stay,-1
11,19,False,stay,1
10,18,False,stay,-1
6,11,False,hit,1
7,18,False,stay,-1
8,14,False,hit,-1
11,11,False,hit,-1
3,20,False,stay,1
9,10,False,hit,1
8,13,False,hit,1
3,14,False,stay,-1
4,16,False,stay,1
9,9,False,hit,0
11,13,True,hit,-1
8,13,False,hit,-1
2,12,False,hit,-1
7,17,False,stay,-1
9,20,False,stay,1
8,15,True,hit,-1
7,16,False,hit,1
11,8,False,hit,1
8,14,False,hit,-1
